COD_PROV,DES_PROV,COD_MUNI,DES_MUNI,COD_DM,DES_DM,COD_SECC,DES_SECC,COD_BP,DES_BP,ICV_1,ICV_2,ICV_3,ICV_4,NO_CAT,P_ICV1Y2
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,011,LA MONJA,9,0,0,0,2,81.82
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,013,LOS LIMONES,10,2,0,0,3,80
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,012,VELAZQUITO,22,9,1,0,2,91.18
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,007,LOMITA LARGA,5,4,2,1,2,64.29
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,008,JAGUA GORDA,16,51,9,7,9,72.83
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,012,LOS INDIOS,3,4,0,0,49,12.5
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,006,EL CAPÁ,10,15,2,0,5,78.12
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,004,EL MAMEYITO,0,0,0,0,5,0
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,009,LOMA FIRME,11,11,1,0,4,81.48
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,003,EL BEJUCAL,0,1,0,0,2,33.33
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,04,JAGUA GORDA,002,EL CAFÉ,16,8,0,0,3,88.89
13,LA VEGA,01,LA VEGA,01,LA VEGA,04,BAYACANES,004,EL HIGÜERO,28,52,28,15,23,54.79
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,010,LOS RANCHOS DE TAVERAS,33,99,59,12,0,65.02
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,003,EL JOBO,3,19,8,1,6,59.46
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,004,CONUCO VIEJO,6,51,17,7,26,53.27
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,008,ALTO DEL JOBO,16,29,24,0,11,56.25
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,007,TAVERA,13,12,2,0,10,67.57
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,001,LA CIGUA,26,67,19,2,27,65.96
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,005,LA SABANA,2,14,3,1,9,55.17
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,004,LA TAYOTA,8,39,9,1,0,82.46
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,010,EL PINO,13,51,37,6,9,55.17
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,006,LA TALA,8,28,11,2,3,69.23
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,03,LA LLANADA,009,EL FUNDO,8,27,29,7,16,40.23
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,006,LA JAGÜITA,15,46,11,1,27,61
13,LA VEGA,01,LA VEGA,04,TAVERA (D.M.).,02,LA JINA HUECA,005,EL MORRO,21,41,7,1,7,80.52
13,LA VEGA,01,LA VEGA,01,LA VEGA,05,BURENDE,004,LOS MOTA,3,16,2,0,0,90.48
13,LA VEGA,01,LA VEGA,01,LA VEGA,05,BURENDE,005,GUACO(LA PIÑITA),15,99,141,53,15,35.29
